
Image Name                     PID Session Name        Session#    Mem Usage
GoogleCrashHandler64.exe     11556 Services                   0          4 K
svchost.exe                  10252 Services                   0     11,804 K
svchost.exe                  10016 Services                   0     10,532 K
RuntimeBroker.exe            10648 Console                    1     47,412 K
ShellExperienceHost.exe      12212 Console                    1     59,000 K
svchost.exe                  12432 Services                   0     13,628 K
SkypeHost.exe                12908 Console                    1      8,760 K
MSASCuiL.exe                 10376 Console                    1     10,840 K
RtkNGUI64.exe                13428 Console                    1     15,708 K
RAVBg64.exe                  13528 Console                    1     14,352 K
Docker for Windows.exe       13752 Console                    1     62,716 K
svchost.exe                  13788 Console                    1     10,332 K
OUTLOOK.EXE                  13892 Console                    1    179,764 K
iexplore.exe                 13920 Console                    1     34,956 K
chrome.exe                   13944 Console                    1    207,984 K
lync.exe                     13964 Console                    1    161,920 K
concentr.exe                 14080 Console                    1     11,688 K
chrome.exe                   14124 Console                    1     12,680 K
wfcrun32.exe                 14184 Console                    1     15,136 K
chrome.exe                   14272 Console                    1     13,376 K
chrome.exe                   10204 Console                    1    165,368 K
chrome.exe                   13028 Console                    1     60,692 K
iexplore.exe                 12692 Console                    1    132,584 K
chrome.exe                    1920 Console                    1     22,520 K
chrome.exe                   14516 Console                    1     37,448 K
iexplore.exe                 15260 Console                    1     16,672 K
chrome.exe                   11752 Console                    1    106,576 K
chrome.exe                   12704 Console                    1     60,620 K
chrome.exe                   15388 Console                    1     35,756 K
chrome.exe                   16152 Console                    1     39,340 K
chrome.exe                    9356 Console                    1     38,896 K
iexplore.exe                 17360 Console                    1     33,496 K
iexplore.exe                 14120 Console                    1     34,904 K
dockerd.exe                  17208 Services                   0     35,352 K
UcMapi.exe                   16756 Console                    1     49,588 K
com.docker.proxy.exe          9988 Console                    1     13,272 K
Docker.Watchguard.exe        16476 Services                   0      2,232 K
conhost.exe                  16900 Services                   0      5,404 K
conhost.exe                  16328 Console                    1      5,632 K
svchost.exe                  15692 Services                   0     10,864 K
ApplicationFrameHost.exe     16852 Console                    1     23,500 K
svchost.exe                  16632 Services                   0     13,860 K
SettingSyncHost.exe          17032 Console                    1      3,356 K
svchost.exe                  19432 Services                   0      8,580 K
SystemSettings.exe            3272 Console                    1     39,956 K
chrome.exe                    4180 Console                    1     43,612 K
chrome.exe                    9008 Console                    1    824,944 K
chrome.exe                   10644 Console                    1     40,828 K
svchost.exe                     72 Services                   0      8,376 K
chrome.exe                    8720 Console                    1     77,036 K
chrome.exe                    3084 Console                    1    268,228 K
cmd.exe                       5700 Console                    1      3,804 K
conhost.exe                  13696 Console                    1     11,756 K
lynchtmlconv.exe             11512 Console                    1     32,740 K
chrome.exe                    6400 Console                    1     73,632 K
chrome.exe                    9172 Console                    1     49,884 K
cmd.exe                      16120 Console                    1     11,076 K
conhost.exe                  21164 Console                    1     11,868 K
dllhost.exe                  20980 Console                    1     10,860 K
svchost.exe                  22800 Services                   0      6,152 K
svchost.exe                   6060 Services                   0      6,816 K
chrome.exe                   19344 Console                    1    166,556 K
chrome.exe                   21460 Console                    1     42,380 K
vmwp.exe                     20548 Services                   0     13,312 K
vmmem                        18488 Services                   0    401,980 K
vmmem                        22272 Services                   0          N/A
chrome.exe                   24008 Console                    1     40,692 K
chrome.exe                   11092 Console                    1     43,916 K
chrome.exe                   18900 Console                    1     44,260 K
cmd.exe                      15404 Console                    1     14,296 K
conhost.exe                   6280 Console                    1     12,504 K
chrome.exe                    9412 Console                    1     49,792 K
chrome.exe                    9764 Console                    1     66,832 K
chrome.exe                   16648 Console                    1     56,256 K
AcroRd32.exe                 20848 Console                    1     23,384 K
AcroRd32.exe                 23916 Console                    1     97,744 K
RdrCEF.exe                   20452 Console                    1     33,524 K
RdrCEF.exe                   12372 Console                    1     32,964 K
RdrCEF.exe                   21452 Console                    1     50,660 K
chrome.exe                   13408 Console                    1     36,108 K
mmc.exe                      19540 Console                    1     39,616 K
RdrCEF.exe                   11376 Console                    1     36,828 K
chrome.exe                   19572 Console                    1     47,008 K
chrome.exe                   17216 Console                    1     38,864 K
SearchUI.exe                 18216 Console                    1     70,552 K
svchost.exe                   8300 Services                   0      5,792 K
chrome.exe                   16904 Console                    1     47,756 K
RdrCEF.exe                   22068 Console                    1     14,152 K
chrome.exe                   11148 Console                    1     56,548 K
notepad++.exe                19288 Console                    1     34,440 K
java.exe                     22792 Console                    1     30,616 K
conhost.exe                   5516 Console                    1     10,272 K
chrome.exe                   17688 Console                    1     39,908 K
chrome.exe                    3276 Console                    1     55,412 K
chrome.exe                   15140 Console                    1     47,424 K
chrome.exe                    7788 Console                    1    157,284 K
powershell.exe               22628 Console                    1     47,776 K
conhost.exe                  22968 Console                    1     11,412 K
docker.exe                   14828 Console                    1     15,640 K
vmwp.exe                     22776 Services                   0     19,712 K
vmmem                        22012 Services                   0    395,572 K
cmd.exe                      12916 Console                    1      3,168 K
conhost.exe                  20476 Console                    1     10,672 K
elsd.exe                     18128 Console                    1      7,720 K
chrome.exe                   23752 Console                    1     51,548 K
chrome.exe                    9560 Console                    1     37,644 K
chrome.exe                    5740 Console                    1     31,668 K
chrome.exe                   14840 Console                    1     89,516 K
chrome.exe                   10168 Console                    1     49,536 K
chrome.exe                   20176 Console                    1     74,008 K
RdrCEF.exe                    9236 Console                    1     23,984 K
svchost.exe                  23332 Services                   0     22,200 K
chrome.exe                   22036 Console                    1     91,672 K
chrome.exe                   18984 Console                    1     66,596 K
tasklist.exe                  1220 Console                    1      8,084 K
